Event.Date,Injury.Severity,Aircraft.damage,Make,Model,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Fatality Flag,Risk Score
1995-05-23,Non-Fatal,Substantial,OTHER,WLAC-1,Personal,0.0,1.0,0.0,2.0,0,2.0
1995-05-23,Non-Fatal,Substantial,OTHER,35A,Executive/corporate,0.0,0.0,0.0,7.0,0,0.0
1995-05-23,Non-Fatal,Substantial,PIPER,PA-23-250,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-05-24,Fatal(1),Destroyed,OTHER,QUICKIE Q-2,Personal,1.0,0.0,0.0,0.0,1,5.0
1995-05-24,Non-Fatal,Substantial,CESSNA,182C,Personal,0.0,0.0,1.0,0.0,0,1.0
1995-05-25,Non-Fatal,Substantial,CESSNA,172F,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-05-25,Non-Fatal,Substantial,OTHER,HB-200,Personal,0.0,0.0,1.0,1.0,0,1.0
1995-05-25,Non-Fatal,Substantial,CESSNA,180D,Personal,0.0,0.0,0.0,3.0,0,0.0
1995-05-26,Non-Fatal,Substantial,DE HAVILLAND,DHC-2,Personal,0.0,1.0,0.0,0.0,0,2.0
1995-05-27,Fatal(2),Destroyed,CESSNA,172N,Personal,2.0,2.0,0.0,0.0,1,14.0
1995-05-27,Fatal(4),Destroyed,CESSNA,172N,Personal,4.0,0.0,0.0,0.0,1,20.0
1995-05-27,Non-Fatal,Substantial,CESSNA,172B,Personal,0.0,0.0,0.0,4.0,0,0.0
1995-05-27,Non-Fatal,Substantial,CESSNA,T210N,Personal,0.0,0.0,6.0,0.0,0,6.0
1995-05-27,Non-Fatal,Substantial,OTHER,LS-6,Personal,0.0,1.0,0.0,0.0,0,2.0
1995-05-27,Non-Fatal,Substantial,CESSNA,337B,Personal,0.0,0.0,0.0,3.0,0,0.0
1995-05-28,Non-Fatal,Substantial,OTHER,ZODIAC 601,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-05-28,Non-Fatal,Substantial,CESSNA,182A,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-05-28,Non-Fatal,Substantial,NORTH AMERICAN,T-28A,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-05-28,Non-Fatal,Substantial,BEECH,95-A55,Personal,0.0,0.0,1.0,0.0,0,1.0
1995-05-28,Non-Fatal,Substantial,PIPER,PA-18-150,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-05-28,Non-Fatal,Substantial,PIPER,PA-22,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-05-29,Fatal(1),Destroyed,PIPER,PA-28-181,Personal,1.0,0.0,0.0,0.0,1,5.0
1995-05-29,Fatal(2),Destroyed,OTHER,LONG-EZ,Personal,2.0,0.0,0.0,0.0,1,10.0
1995-05-29,Fatal(4),Destroyed,PIPER,PA-28-180,Personal,4.0,0.0,0.0,0.0,1,20.0
1995-05-29,Non-Fatal,Destroyed,BEECH,A35,Personal,0.0,2.0,0.0,0.0,0,4.0
1995-05-29,Fatal(1),Destroyed,PIPER,J3C-65,Personal,1.0,0.0,1.0,0.0,1,6.0
1995-05-30,Fatal(3),Destroyed,PIPER,PA-28-151,Personal,3.0,0.0,0.0,0.0,1,15.0
1995-05-30,Non-Fatal,Substantial,BOEING,A75N1,Personal,0.0,0.0,1.0,1.0,0,1.0
1995-05-30,Non-Fatal,Substantial,BELL,47G-5,Other Work Use,0.0,0.0,0.0,1.0,0,0.0
1995-05-31,Non-Fatal,Destroyed,PIPER,PA-32-260,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-05-31,Fatal(2),Destroyed,CESSNA,T210N,Personal,2.0,0.0,0.0,0.0,1,10.0
1995-05-31,Fatal(1),Destroyed,BELLANCA,17-30A,Personal,1.0,0.0,0.0,0.0,1,5.0
1995-05-31,Non-Fatal,Substantial,CESSNA,172N,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-05-31,Non-Fatal,Substantial,BEECH,C23,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-05-31,Non-Fatal,Substantial,OTHER,B-80,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-01,Fatal(3),Destroyed,AERO COMMANDER,680,Personal,3.0,0.0,0.0,0.0,1,15.0
1995-06-01,Fatal(2),Destroyed,PIPER,PA-23-250,Business,2.0,0.0,0.0,0.0,1,10.0
1995-06-01,Fatal(1),Substantial,OTHER,TH-1L,Other Work Use,1.0,0.0,0.0,0.0,1,5.0
1995-06-01,Non-Fatal,Substantial,TAYLORCRAFT,BC-12,Personal,0.0,1.0,1.0,0.0,0,3.0
1995-06-01,Non-Fatal,Substantial,BEECH,B23,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-01,Non-Fatal,Substantial,CESSNA,120,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-01,Non-Fatal,Substantial,CESSNA,172N,Personal,0.0,0.0,0.0,3.0,0,0.0
1995-06-01,Non-Fatal,Substantial,AMERICAN,AA-1,Personal,0.0,0.0,0.0,1.0,0,0.0
1995-06-02,Non-Fatal,Destroyed,PIPER,PA-28-161,Personal,0.0,3.0,0.0,0.0,0,6.0
1995-06-02,Non-Fatal,Substantial,CESSNA,182K,Personal,0.0,0.0,0.0,2.0,0,0.0
1995-06-02,Non-Fatal,Substantial,OTHER,ROSE PARAKEET,Personal,0.0,1.0,0.0,0.0,0,2.0
1995-06-03,Non-Fatal,Substantial,CESSNA,180F,Personal,0.0,2.0,0.0,0.0,0,4.0
1995-06-03,Non-Fatal,Substantial,CESSNA,180,Personal,0.0,1.0,1.0,0.0,0,3.0
